scaffold	no_genes
HAP2_scaffold_100	118
HAP2_scaffold_1	57
HAP2_scaffold_201	48
HAP2_scaffold_450	46
HAP2_scaffold_7	26
HAP2_scaffold_237	23
HAP2_scaffold_552	22
HAP2_scaffold_3	21
HAP2_scaffold_325	21
HAP2_scaffold_41	21
HAP2_scaffold_467	21
HAP2_scaffold_8	21
HAP2_scaffold_23	17
HAP2_scaffold_616	17
HAP2_scaffold_15	16
HAP2_scaffold_18	14
HAP2_scaffold_213	14
HAP2_scaffold_436	14
HAP2_scaffold_548	14
HAP2_scaffold_629	14
HAP2_scaffold_11	13
HAP2_scaffold_6	13
HAP2_scaffold_4	12
HAP2_scaffold_535	12
HAP2_scaffold_578	12
HAP2_scaffold_649	11
HAP2_scaffold_9	11
HAP2_scaffold_618	10
HAP2_scaffold_246	9
HAP2_scaffold_34	9
HAP2_scaffold_631	8
HAP2_scaffold_24	7
HAP2_scaffold_589	7
HAP2_scaffold_674	7
HAP2_scaffold_388	6
HAP2_scaffold_534	6
HAP2_scaffold_656	6
HAP2_scaffold_661	6
HAP2_scaffold_2	5
HAP2_scaffold_650	5
HAP2_scaffold_705	5
HAP2_scaffold_17	4
HAP2_scaffold_19	4
HAP2_scaffold_378	4
HAP2_scaffold_399	4
HAP2_scaffold_572	4
HAP2_scaffold_710	4
HAP2_scaffold_719	4
HAP2_scaffold_84	4
HAP2_scaffold_12	3
HAP2_scaffold_25	3
HAP2_scaffold_47	3
HAP2_scaffold_542	3
HAP2_scaffold_632	3
HAP2_scaffold_640	3
HAP2_scaffold_645	3
HAP2_scaffold_673	3
HAP2_scaffold_14	2
HAP2_scaffold_26	2
HAP2_scaffold_5	2
HAP2_scaffold_20	1
HAP2_scaffold_21	1
HAP2_scaffold_27	1
HAP2_scaffold_603	1
HAP2_scaffold_620	1
HAP2_scaffold_695	1
